"bekasi",1520204,-6.2349,106.99
"kaohsiung",1512832,22.6178,120.301
"kaohsiung",1512832,22.6333,120.35
"urumqi",1508225,43.801,87.6005
"thana",1486453,19.2,72.9667
"recife",1478118,-8.05,-34.9
"kumasi",1468797,6.68333,-1.61667
"kuala lumpur",1453978,3.16667,101.7
"philadelphia",1453268,39.9522,-75.1642
"karaj",1448996,35.8355,51.0103
"perth",1446715,-31.9522,115.861
"cordoba",1441007,-31.4135,-64.1811
"multan",1437644,30.1956,71.4753
"hanoi",1431377,21.0333,105.85
"ha noi",1431377,21.0333,105.85
"agra",1430194,27.1833,78.0167
"phoenix",1428509,33.4483,-112.073
"tabriz",1424701,38.08,46.2919
"novosibirsk",1419016,55.0415,82.9346
"lanzhou",1417742,36.0564,103.792
"bursa",1413485,40.1917,29.0611
"vadodara",1409565,22.3,73.2
"belem",1407737,-1.45,-48.4833
"juarez",1403025,31.7333,-106.483
"fushun",1400646,41.7,123.883
"quito",1399814,-0.216667,-78.5
"puebla",1392137,19.05,-98.2
"antananarivo",1391506,-18.9167,47.5167
"luoyang",1390581,34.6836,112.454
"hefei",1388904,31.8639,117.281
"hyderabad",1386840,25.3924,68.3737
"valencia",1385202,10.1806,-68.0039
"gujranwala",1384869,32.1617,74.1883
"barranquilla",1380437,10.9639,-74.7964
"tijuana",1376494,32.5333,-117.017
"lubumbashi",1374808,-11.6667,27.4667
"porto alegre",1372763,-30.0333,-51.2
"tangerang",1372185,-6.17806,106.63
"handan",1358318,36.5667,114.533
"kampala",1353236,0.315556,32.5656
"suzhou",1343091,31.3114,120.618
"khulna",1342429,22.8,89.55
"douala",1338144,4.05028,9.7
"makasar",1321832,-5.14,119.422
"kawasaki",1306804,35.5206,139.717
"montevideo",1305865,-34.8581,-56.1708
"yaounde",1299446,3.86667,11.5167
"bamako",1297390,12.65,-8
"semarang",1288221,-6.9932,110.42
"yekaterinburg",1287586,56.8519,60.6122
"san diego",1287050,32.7153,-117.156
"pimpri",1284702,18.6167,73.8
"nizhniy novgorod",1284176,56.3269,44.0075
"faridabad",1280909,28.4333,77.3167
"lusaka",1267458,-15.4167,28.2833
"kalyan",1262355,19.25,73.15
"san antonio",1256810,29.4239,-98.4933
"stockholm",1253309,59.3333,18.05
"bayrut",1252010,33.8719,35.5097
"beirut",1252010,33.8719,35.5097
"shiraz",1249972,29.6036,52.5388
"adana",1249680,37.0017,35.3289
"munich",1246133,48.15,11.5833
"palembang",1241334,-2.91667,104.75
"port-au-prince",1234750,18.5392,-72.335
"nezahualcoyotl",1232565,19.4136,-99.0331
"peshawar",1219248,34.008,71.5785
"rosario",1218497,-32.9468,-60.6393
"davao",1212285,7.07306,125.613
"dallas",1211704,32.7833,-96.8
"mandalay",1208227,22,96.0833
"almaty",1204820,43.25,76.95
"mecca",1199659,21.4267,39.8261
"ghaziabad",1199306,28.6667,77.4333
"anshan",1199275,41.1236,122.99
"xuzhou",1199193,34.1805,117.157
"depok",1198195,-6.34333,106.499
"maputo",1191613,-25.9653,32.5892
"freetown",1190761,8.49,-13.2342
"fuzhou",1179720,26.0614,119.306
"rajkot",1177434,22.3,70.7833
"guiyang",1171633,26.5833,106.717
"goiania",1171209,-16.6667,-49.2667
"guarulhos",1169601,-23.4507,-46.5262
"varanasi",1164520,25.3333,83
"fez",1160239,34.0372,-4.9998
"milan",1156903,45.4667,9.2
"prague",1154508,50.0833,14.4667
"tripoli",1150990,32.8925,13.18
"port harcourt",1148753,4.77742,7.0134
"hiroshima",1143850,34.4348,132.741
"managua",1140499,12.1508,-86.2683
"dubai",1137376,25.2582,55.3047
"samara",1134742,53.1835,50.1182
"omsk",1129289,55,73.4
"benin",1125126,6.33504,5.62749
"monterrey",1122912,25.6667,-100.317
"baku",1116513,40.3953,49.8822
"brazzaville",1115773,-4.25917,15.2847
"belgrade",1115200,44.8186,20.4681
"leon",1114662,21.1167,-101.667
"maiduguri",1112511,11.8464,13.1603
"wuxi",1108647,31.5689,120.289
"kazan",1104750,55.7887,49.1221
"yerevan",1093499,40.1811,44.5136
"amritsar",1092528,31.6331,74.8656
"copenhagen",1089958,55.6667,12.5833
"taichung",1083582,24.1433,120.681
"saitama",1077730,35.8955,139.677
"rostov-na-donu",1074495,47.2313,39.7233
"adelaide",1074168,-34.9287,138.599
"allahabad",1073544,25.45,81.85
"gaziantep",1066561,37.0594,37.3825
"visakhapatnam",1063293,17.7,83.3
"chelyabinsk",1062931,55.1544,61.4297
"sofia",1062065,42.6833,23.3167
"datong",1052678,40.0936,113.291
"tbilisi",1049516,41.725,44.7908
"xianyang",1034081,34.3378,108.703
"ufa",1033350,54.7852,56.0456
"campinas",1031573,-22.9,-47.0833
"ouagadougou",1031330,12.3703,-1.52472
"jabalpur",1030276,23.1667,79.95
"haora",1027771,22.5892,88.3103
"huainan",1027655,32.6264,116.997
"dublin",1024027,53.3331,-6.24889
"kunming",1023674,25.0389,102.718
